date,q1,md,q3
2017-12-05,11.82,16.35,34.66
2017-12-06,9.828,14.05,36.23
2017-12-07,7.765,11.91,17.87
2017-12-08,11.79,13.995,18.54
2017-12-09,14.178,25.995,36.445
2017-12-10,14.75,24.685,46.355
2017-12-11,10.95,23.3,40.915
2017-12-12,24.58,28.745,35.775
2017-12-13,8.52,19.59,34.575
2017-12-14,13.145,27.75,88.113
2017-12-15,11.01,20.77,54.18
2017-12-16,10.62,19.05,36.95
2017-12-17,18.555,29.55,51.435
2017-12-18,20.333,28.515,63.923
2017-12-19,15.67,22.13,35.35
2017-12-20,15.773,19.955,51.66
2017-12-21,12.993,22.41,39.913
2017-12-22,10.06,19.62,43.69
2017-12-23,12.775,19.805,30.58
2017-12-24,10.248,17.275,29.818
2017-12-25,11.72,21.64,48.208
2017-12-26,6.81,13.8,25.185
2017-12-27,30.21,71.34,136.055
2017-12-28,14.303,28.7,64.955
2017-12-29,12.67,26.28,75.77
2017-12-30,13.858,18.63,39.7
2017-12-31,12.973,19.67,34.013
2018-01-01,7.66,14.14,35.34
2018-01-02,12.438,29.42,44.893
2018-01-03,17.108,23.785,45.973
2018-01-04,13,29.08,54.445
2018-01-05,13.52,20.3,55.38
2018-01-06,15.208,24.805,33.723
2018-01-07,13.625,31.4,52.4
2018-01-08,13.548,23.36,42.483
2018-01-09,30.68,58.18,126.74
2018-01-10,14.5,18.28,37.28
2018-01-11,22.68,42.14,77.41
2018-01-12,14.983,25.31,47.62
2018-01-13,16.23,19.66,46.76
2018-01-14,16.823,29.245,68.4
2018-01-15,21.775,36.32,114.81
2018-01-16,23.92,26.94,147.96
2018-01-17,10.17,33.95,77.23
2018-01-18,12.06,21.09,55.36
2018-01-19,18.563,49.15,81.935
2018-01-20,17.668,23.205,71.65
2018-01-22,26.05,49.345,66.948
2018-01-23,15.038,21.525,46.043
2018-01-24,21.575,40.86,103.055
2018-01-25,16.26,28.445,44.848
2018-01-26,19.003,24.25,68.193
2018-01-27,29.423,39.685,73.538
2018-01-28,18.805,42.57,73.53
2018-01-29,10.905,18.285,66.358
2018-01-30,20.66,28.17,58.83
2018-01-31,16.003,30.615,45.828
2018-02-01,15.225,29.96,85.485
2018-02-02,15.2,25.15,79.74
2018-02-03,15.225,30.11,108.428
2018-02-04,19.833,44.38,115.295
2018-02-05,15.815,22.7,70.64
2018-02-06,10.29,20.51,34.77
2018-02-07,12.313,24.795,46.958
2018-02-08,16.25,22.15,51.31
2018-02-09,13.243,22.755,42.923
2018-02-10,13.07,20.27,29.11
2018-02-11,19.795,36.76,65.408
2018-02-12,9.05,13.36,26.28
2018-02-13,9.99,19.74,47.88
2018-02-14,12.663,22.91,36.975
2018-02-15,10.008,15.72,34.585
2018-02-16,10.75,22.76,31.97
2018-02-17,13.255,20.6,38.588
2018-02-18,9.775,14.62,33.78
2018-02-19,16.45,27.44,37.75
2018-02-20,10.005,14.84,43.405
2018-02-21,10.465,18.02,33.465
2018-02-22,15.59,22.42,39.07
2018-02-23,10.38,21.8,44.075
2018-02-24,14.455,19.23,45.223
2018-02-25,10.52,19.58,37.13
2018-02-26,16.605,24.055,54.9
2018-02-27,11.8,19.18,40.45
2018-02-28,20.335,43.965,94.328
2018-03-01,27.92,47.33,136.5
2018-03-02,15.345,25.215,46.993
2018-03-03,13.72,20.04,27.495
2018-03-04,13.68,22.57,44.175
